"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43"
"1";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1
"2";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1
"3";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;1
"4";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;1
"5";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1
"6";0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1
"7";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1
"8";1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1
"9";1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1
"10";1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1
"11";1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1
"12";1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1
"13";1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1
"14";1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1
"15";1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;1
"16";1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1
"17";1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1
"18";1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1
"19";0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1
"20";1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1
"21";1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1
"22";1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;1
"23";1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1
"24";1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1
"25";1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1
"26";1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1
"27";1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0
"28";1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;0;1;1;0
"29";1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0
"30";1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;0;1;1;0
"31";1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;0
"32";1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"33";1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0
"34";1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0
"35";1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0
"36";1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0
"37";0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0
"38";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;1;0
"39";1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1
"40";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1
"41";1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1
"42";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0
"43";0;1;0;1;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1
"44";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;0
"45";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0
"46";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1
"47";0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0
"48";0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0
"49";0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;0
"50";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1
"51";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"52";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1
"53";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0
"54";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1
"55";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1
"56";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1
"57";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1
"58";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1
"59";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1
"60";1;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0
"61";0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0
"62";0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0
"63";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0
"64";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0
"65";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0
"66";0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0
"67";0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0
"68";0;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1
"69";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1
"70";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1
"71";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1
"72";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"73";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"74";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"75";0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1
"76";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1
"77";0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;1;1;1
"78";0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1
"79";0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1
"80";0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0
"81";1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0
"82";1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1
"83";0;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;1
"84";0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;0;1;1
"85";0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1
"86";0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;1
"87";0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;1
"88";0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1
"89";1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1
"90";0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1
