"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"V1";0;1;0;0;0;0;0;1
"V2";0;0;1;1;0;1;0;0
"V3";1;0;0;0;0;0;0;0
"V4";1;0;0;0;0;0;0;0
"V5";0;0;0;0;0;1;0;0
"V6";1;0;0;0;1;0;1;0
"V7";0;0;0;0;0;0;1;0
"V8";1;0;0;0;1;1;0;0
"V9";1;0;0;0;0;0;0;0
"V10";0;0;0;0;1;1;1;1
"V11";0;0;0;0;0;0;0;1
"V12";1;0;0;0;0;0;0;0
"V13";0;0;0;0;0;0;0;1
"V14";1;0;0;0;0;1;0;0
"V15";0;0;1;1;0;0;0;0
"V16";0;0;0;0;0;0;0;1
"V17";0;0;1;0;0;0;0;0
"V18";1;1;0;0;1;1;0;0
"V19";0;0;0;1;0;0;0;0
"V20";1;0;0;0;0;0;0;0
"V21";0;0;0;0;1;0;0;0
"V22";0;0;1;0;0;0;0;0
"V23";1;1;0;0;0;0;0;1
"V24";0;0;0;0;0;1;0;0
"V25";0;0;0;0;0;1;0;0
"V26";0;1;0;0;0;0;0;0
"V27";1;0;0;0;0;0;0;0
"V28";0;0;0;1;1;0;0;1
"V29";0;0;0;0;0;0;0;1
"V30";1;1;0;0;1;1;1;1
"V31";1;1;0;0;1;1;0;1
"V32";1;0;0;0;1;0;0;0
"V33";0;0;0;0;0;0;1;0
"V34";0;0;0;1;0;0;0;0
"V35";0;0;0;0;0;0;0;1
