"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47"
"1";1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0
"2";1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"4";1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0
"5";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0
"7";0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
"8";0;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0
"9";1;1;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1
"10";1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1
"11";1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1
"12";1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0
"13";0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"14";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;0;1
"15";0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"16";1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
"17";0;0;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"18";1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"19";1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0
"20";1;1;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"21";1;0;1;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
"22";0;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0
"23";0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0
"24";0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"25";1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1
"26";1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1
"27";1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1
"28";0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"29";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"30";0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0
"31";0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0
