"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";0;1;0;0
"V3";1;0;0;1
"V4";0;0;1;0
"V5";1;0;1;0
"V6";1;0;0;0
"V7";1;0;0;0
"V8";0;0;1;0
"V9";1;1;1;1
"V10";1;1;1;1
"V11";0;0;1;0
"V12";1;1;1;1
"V13";1;0;1;1
"V14";1;0;0;1
"V15";1;0;1;1
"V16";1;0;1;0
"V17";1;0;0;1
"V18";0;1;0;0
"V19";1;0;0;0
"V20";0;0;1;0
"V21";0;0;0;1
"V22";1;1;1;1
"V23";1;0;0;0
"V24";0;1;0;0
"V25";1;0;0;0
"V26";1;0;1;0
"V27";0;1;0;1
"V28";1;0;0;0
"V29";1;0;1;0
"V30";0;1;1;1
"V31";1;0;0;0
"V32";0;1;0;0
"V33";1;0;0;0
"V34";0;1;1;0
"V35";0;0;1;0
"V36";0;0;1;0
"V37";1;0;0;0
"V38";0;0;1;0
"V39";0;1;0;0
"V40";1;0;0;0
"V41";1;0;0;0
"V42";1;0;0;0
"V43";0;0;0;1
"V44";0;1;0;0
"V45";0;0;0;1
