"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30"
"V1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"V2";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V3";1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1
"V4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
"V5";0;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1
"V6";0;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1
"V7";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"V8";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0
"V9";1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1
"V10";0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0
"V11";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"V12";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"V13";0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V14";1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"V15";1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"V16";0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"V17";1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V18";0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1
"V19";0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
"V20";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"V21";1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1
"V22";0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1
"V23";1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"V24";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V25";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"V26";1;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1
"V27";0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1
"V28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"V29";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V30";1;0;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0
"V31";1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V32";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"V34";0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
