"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"V1";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V3";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V4";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V5";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V6";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V7";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"V8";1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0
"V9";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V10";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V11";0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1
"V12";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V13";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V14";1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1
"V15";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V16";1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1
"V17";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V18";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V19";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
"V20";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"V21";0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0
"V22";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V23";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V24";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V25";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"V26";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V27";1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0
"V28";1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1
"V29";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V30";1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0
"V31";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V32";0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0
"V33";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V34";1;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0
"V35";0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
"V36";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V37";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
"V38";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V39";1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;1;1;1
"V40";1;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1
"V41";1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1
"V42";1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
"V43";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V44";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"V45";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"V46";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V47";1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;1;1;1;1
"V48";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V49";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1
"V50";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"V51";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V52";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"V53";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V54";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V55";1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0
"V56";1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V57";0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0
"V58";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V59";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V60";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V61";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V62";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V63";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V64";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V65";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V66";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V67";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V69";0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0
"V70";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V71";1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0
"V72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V73";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V74";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V75";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V76";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V77";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V78";0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
"V79";0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0
"V80";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V81";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V82";0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
"V83";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"V84";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V85";0;1;1;1;0;0;1;1;0;1;1;1;0;0;1;0;0;0;1
"V86";0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1
"V87";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V88";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V89";1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0
"V90";0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0
"V91";0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
"V92";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"V93";0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
"V94";1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0
"V95";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V96";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V97";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
"V98";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V99";0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0
"V100";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V101";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V103";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V104";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V105";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V106";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V108";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V109";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V110";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V111";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V112";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V113";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V114";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V115";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V116";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V117";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V118";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V119";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V120";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"V121";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V122";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V123";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V124";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"V125";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V126";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V127";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V128";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V129";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V130";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"V131";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V132";1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0
"V133";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V134";1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1
"V135";1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"V136";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V137";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V138";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V139";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V140";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V141";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V142";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V143";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V144";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V145";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V146";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V147";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V148";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V149";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V150";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V151";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V153";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"V154";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V155";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"V156";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V157";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V158";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V159";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V160";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
