"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15"
"1";0;1;0;0;0;0;0;1;0;0;0;0;1;1;0
"2";1;1;0;1;1;0;1;0;1;1;1;1;0;1;1
"3";1;0;0;1;0;1;0;1;1;0;1;0;0;0;0
"4";0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
"5";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"6";1;0;1;1;0;1;0;0;1;1;0;1;0;0;0
"7";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"8";1;1;0;1;1;1;1;1;1;1;0;1;1;1;1
"9";0;0;1;1;0;1;1;1;1;0;0;0;0;0;0
"10";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"11";0;0;1;0;1;0;1;0;0;1;1;1;0;0;0
"12";0;0;1;0;0;0;0;1;1;1;0;1;1;1;0
"13";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"14";1;1;1;1;1;0;1;1;1;1;1;1;0;1;1
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"17";1;1;1;1;0;0;1;0;1;0;0;0;0;1;1
"18";0;0;1;0;1;1;1;1;1;1;1;0;0;0;0
"19";0;0;0;0;0;0;1;0;1;0;0;0;1;1;0
"20";0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"21";0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
"22";0;0;1;0;0;1;0;0;1;0;1;0;0;0;1
"23";0;0;0;1;0;0;1;1;1;0;1;0;1;0;1
"24";1;1;0;0;1;1;0;1;1;0;0;0;0;1;0
"25";1;0;0;0;1;0;1;0;1;1;0;0;1;0;1
"26";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"27";0;0;1;1;1;0;0;1;1;0;0;0;0;0;0
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";1;0;1;1;0;1;0;0;1;1;0;1;1;0;1
"30";1;1;0;0;1;1;1;0;0;0;0;0;0;0;0
"31";0;0;0;0;0;0;1;0;0;1;0;1;0;1;1
"32";0;1;0;1;1;1;1;1;1;1;1;0;1;0;1
"33";0;1;0;0;0;0;0;0;1;1;1;0;0;1;0
"34";1;0;0;0;1;0;0;0;0;1;0;1;1;1;1
"35";1;0;1;0;1;1;1;0;0;0;1;0;1;0;1
"36";1;0;0;1;0;1;1;1;1;0;0;0;1;0;0
"37";0;1;0;0;0;0;0;0;0;0;1;1;1;1;0
"38";1;0;1;1;1;1;1;0;0;1;1;1;1;0;1
"39";1;1;0;0;0;0;0;1;0;1;0;0;1;1;0
"40";0;0;0;1;1;0;0;1;0;0;0;1;1;1;0
"41";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"42";0;1;1;0;0;0;0;1;1;1;0;0;0;0;1
"43";1;1;0;1;0;1;0;0;1;0;1;1;1;1;1
"44";0;0;0;0;0;1;0;1;0;1;0;0;0;1;1
