"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15"
"1";1;0;0;1;1;1;0;1;0;1;0;0;1;0;1
"2";1;0;1;0;0;1;1;0;0;1;0;1;0;1;0
"3";1;0;0;0;1;0;1;1;0;0;0;0;1;0;1
"4";1;0;0;1;0;0;1;1;0;0;1;1;0;1;1
"5";0;0;1;0;0;0;1;1;0;1;0;1;0;1;1
"6";1;0;0;1;1;0;1;0;0;0;1;1;0;0;0
"7";0;1;0;1;0;0;0;0;0;1;1;1;1;0;0
"8";1;1;1;0;1;1;0;0;0;0;0;0;1;0;1
"9";0;0;0;0;1;1;1;1;0;1;0;0;1;1;0
"10";1;1;1;0;1;0;0;1;1;1;0;0;1;1;1
"11";0;1;0;1;0;1;1;0;1;1;0;0;1;0;0
"12";0;0;0;0;1;1;0;0;0;0;0;0;1;0;1
"13";0;0;0;0;1;1;0;1;1;0;1;0;0;1;0
"14";1;0;0;0;0;0;1;1;0;0;0;1;1;1;0
"15";1;0;0;0;0;0;1;1;1;0;1;0;1;1;1
"16";0;0;1;1;0;0;0;1;0;1;0;1;1;0;0
"17";0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
"18";0;1;0;0;0;1;1;0;0;0;0;0;1;0;1
"19";1;1;0;1;1;1;1;0;0;0;0;1;0;1;0
"20";0;0;0;0;1;0;1;0;0;1;0;0;1;0;0
"21";1;1;1;1;0;1;0;1;1;1;0;1;0;0;0
"22";0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
"23";0;0;0;0;1;0;1;1;1;1;0;1;0;1;0
"24";0;0;0;1;0;0;0;1;1;0;0;1;0;1;0
"25";1;0;1;1;0;1;0;0;0;0;0;1;0;1;1
"26";0;0;1;1;0;0;0;0;0;0;0;1;1;1;0
"27";0;0;1;0;0;0;1;0;0;0;1;0;1;0;1
"28";0;1;1;1;0;0;1;1;0;1;1;0;0;0;0
"29";1;0;1;0;1;1;0;1;1;1;1;1;0;1;0
"30";0;0;0;1;1;1;1;0;1;1;0;0;0;1;0
"31";1;1;0;0;0;1;0;1;0;1;1;1;1;1;0
"32";0;0;1;0;0;0;1;1;0;0;0;0;1;1;0
"33";0;1;0;0;0;1;1;1;1;1;0;0;0;1;0
"34";1;1;1;0;1;0;0;0;0;0;0;1;0;1;0
"35";0;0;0;1;0;0;0;0;0;0;1;0;1;0;1
"36";0;0;0;1;1;0;1;0;1;0;1;1;0;1;1
"37";0;1;1;0;1;1;1;1;0;1;0;1;0;0;0
"38";1;1;0;1;0;1;0;0;1;1;1;0;0;1;0
"39";0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
"40";0;0;1;0;1;0;0;1;1;0;0;0;1;0;1
