"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"V1";0;0;0;1;0;1;1;1
"V2";1;0;0;1;0;1;0;1
"V3";0;0;1;0;0;0;1;0
"V4";1;0;0;1;0;1;1;1
"V5";0;0;1;1;1;0;1;0
"V6";1;0;0;1;0;1;1;0
"V7";0;1;1;1;1;1;1;1
"V8";0;1;1;1;0;1;1;0
"V9";1;1;1;1;1;1;1;1
"V10";1;1;0;1;0;0;1;1
"V11";1;1;0;1;1;1;1;0
"V12";1;1;1;1;1;1;1;1
"V13";1;0;1;1;0;1;1;1
"V14";0;0;1;1;1;1;1;0
"V15";1;1;1;1;1;1;1;1
"V16";1;0;0;0;1;1;1;0
"V17";1;1;1;1;1;1;1;1
"V18";1;1;1;1;1;1;1;1
"V19";1;1;1;1;1;1;1;1
"V20";1;1;1;1;1;1;1;1
"V21";1;1;1;1;1;1;1;1
"V22";0;0;0;0;0;0;0;0
"V23";0;0;0;0;0;0;0;0
"V24";1;1;1;1;1;1;1;1
"V25";1;1;1;1;1;1;1;1
"V26";1;1;0;1;1;1;0;1
"V27";1;1;1;0;1;1;1;1
"V28";0;0;1;0;0;0;1;0
"V29";1;1;1;1;1;1;1;1
"V30";1;1;1;1;1;1;1;1
"V31";1;1;1;1;1;1;1;1
"V32";0;0;0;0;0;0;1;1
"V33";0;1;0;0;1;0;0;1
"V34";0;0;0;0;0;0;1;0
"V35";0;0;0;0;1;0;0;0
"V36";0;0;0;1;0;0;0;0
