"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22"
"1";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0
"2";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0
"3";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0
"4";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0
"5";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0
"6";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0
"7";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0
"8";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0
"9";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0
"10";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0
"11";1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0
"12";1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0
"13";1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0
"14";1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0
"15";1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0
"16";1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"17";1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
"18";1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1
"22";1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1
"23";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"24";1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1
"25";1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;1
"26";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1
"29";1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"30";1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"31";1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"32";1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1
"33";1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"34";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"35";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"36";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"37";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"38";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"39";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
