"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43"
"1";0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;0
"2";0;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0
"3";0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1
"4";0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1
"5";0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0
"6";0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0
"7";0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0
"8";0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1
"9";0;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0
"10";0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0
"11";0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;1;1;0
"12";0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1
"13";0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0
"14";0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;0;1;1;1
"15";0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0
"16";0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0
"17";0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;0
"18";0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0
