"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"V1";0;0;0;1;0;0;0;0;0
"V2";1;0;0;0;0;1;0;0;0
"V3";1;0;0;1;0;0;0;0;1
"V4";1;1;1;1;1;1;1;0;1
"V5";0;1;0;1;1;1;1;1;0
"V6";1;1;1;1;0;0;0;0;0
"V7";0;0;1;1;0;1;0;1;0
"V8";1;0;0;0;0;1;0;0;0
"V9";0;0;1;0;0;0;0;0;0
"V10";0;0;0;0;0;0;1;0;0
"V11";0;0;0;1;0;0;0;0;0
"V12";0;0;1;1;0;1;0;0;1
"V13";0;0;1;1;0;0;0;1;0
"V14";1;1;1;0;1;0;0;0;0
"V15";0;1;1;1;0;1;1;0;1
"V16";0;1;1;0;1;0;0;0;0
"V17";1;1;1;1;0;1;1;1;0
"V18";1;0;0;0;1;1;1;0;0
"V19";0;1;1;1;1;0;1;1;0
"V20";1;0;0;0;1;0;1;0;0
"V21";0;0;1;1;0;0;1;1;1
"V22";1;1;0;1;1;0;0;1;0
"V23";1;1;1;0;1;1;1;1;0
"V24";1;1;1;1;1;0;1;1;0
"V25";0;1;0;1;0;1;1;0;1
"V26";1;0;1;1;0;1;1;1;0
"V27";1;1;0;1;1;1;1;0;0
"V28";1;0;1;1;1;0;1;1;0
"V29";0;1;0;1;1;1;0;1;0
"V30";1;1;1;0;1;0;1;0;1
"V31";1;1;1;0;1;1;1;1;1
"V32";0;1;0;0;0;0;1;1;0
"V33";1;0;0;0;0;1;1;0;0
"V34";1;0;1;1;0;1;1;1;1
"V35";0;1;1;0;1;0;1;1;0
"V36";1;0;1;1;0;1;1;0;0
"V37";1;1;0;1;0;1;1;0;0
"V38";1;1;0;0;1;1;1;1;0
"V39";0;1;0;1;0;0;0;0;0
