"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"V1";1;1;0;1;1;1;1;1;0;1
"V2";0;0;0;0;1;0;0;0;0;1
"V3";0;1;0;0;0;0;0;0;0;0
"V4";0;0;0;0;0;0;0;0;0;1
"V5";0;0;0;0;0;0;1;0;0;0
"V6";0;1;1;0;0;0;0;0;1;0
"V7";0;1;0;1;0;1;1;0;0;0
"V8";0;0;0;0;1;0;1;0;1;0
"V9";1;1;1;1;1;1;1;0;1;1
"V10";1;1;0;1;1;1;1;1;1;0
"V11";1;1;1;1;1;1;1;1;1;1
"V12";1;0;1;0;0;0;0;0;0;0
"V13";0;0;1;1;1;1;1;0;0;1
"V14";0;1;1;1;1;1;1;1;1;1
"V15";0;0;1;1;1;0;1;0;1;0
"V16";0;1;0;0;0;0;0;0;0;0
"V17";1;1;1;0;1;1;0;1;1;1
"V18";0;0;0;1;1;0;0;1;1;1
"V19";0;1;0;0;1;0;0;0;0;0
"V20";1;0;0;0;0;0;0;1;1;0
"V21";0;0;0;0;1;0;0;1;0;0
"V22";0;1;1;0;0;0;1;0;1;0
"V23";1;0;0;0;0;0;0;0;0;0
"V24";1;1;0;0;0;1;0;1;0;1
"V25";1;1;1;0;1;0;1;0;0;0
"V26";1;0;0;0;0;1;0;0;0;1
"V27";0;0;0;1;0;1;1;1;0;0
"V28";0;0;0;1;1;1;0;1;0;0
"V29";1;0;1;1;0;0;0;1;1;0
"V30";1;1;0;0;1;1;0;0;0;1
"V31";1;0;0;0;1;1;1;0;1;1
"V32";0;0;0;0;0;0;0;0;0;1
"V33";0;1;1;0;0;0;1;0;0;0
"V34";1;1;1;1;1;1;1;1;1;1
"V35";0;0;0;1;0;1;0;1;0;0
"V36";1;0;1;0;1;0;0;0;1;1
"V37";0;1;1;1;0;1;0;1;1;0
"V38";1;1;0;1;0;0;0;0;1;0
"V39";0;0;0;0;0;0;0;1;1;0
"V40";0;1;1;0;0;0;1;0;0;0
"V41";0;0;1;1;0;1;1;1;1;0
"V42";0;1;0;0;0;1;0;0;0;0
"V43";0;1;0;0;1;0;1;0;0;1
"V44";0;1;1;1;0;1;1;1;0;0
"V45";0;0;1;1;1;1;0;0;0;0
"V46";0;1;0;1;1;0;1;1;1;1
"V47";0;0;1;0;0;0;1;0;0;1
"V48";1;0;0;0;0;0;0;1;0;0
"V49";0;1;0;0;0;0;0;0;0;0
"V50";0;0;0;0;0;0;1;0;0;0
"V51";0;1;1;0;0;0;0;1;0;0
"V52";0;0;1;0;0;0;0;0;0;0
"V53";0;0;1;1;0;1;1;0;0;0
"V54";0;1;0;0;0;1;1;0;0;1
"V55";1;1;1;1;1;0;1;0;0;0
"V56";1;0;0;0;0;0;0;0;0;0
"V57";0;0;0;1;1;0;1;0;0;1
"V58";1;1;1;1;0;1;1;0;0;1
"V59";0;0;1;0;1;0;0;0;0;1
"V60";0;0;0;0;1;0;0;0;0;0
"V61";0;0;0;1;0;1;0;0;1;0
"V62";0;0;0;0;0;0;1;1;0;0
"V63";0;0;0;0;0;1;1;0;1;1
"V64";0;1;0;1;0;0;0;0;0;1
"V65";0;0;0;0;1;1;1;0;0;0
"V66";1;1;0;0;0;1;0;1;0;0
"V67";1;1;1;0;1;1;1;0;1;1
"V68";1;1;0;1;1;0;1;0;0;1
"V69";1;1;1;1;0;1;1;1;1;1
"V70";0;0;0;1;1;1;0;1;0;0
"V71";1;0;1;0;0;0;0;0;0;0
"V72";0;1;0;0;0;0;0;0;0;1
"V73";0;0;0;0;1;0;0;0;0;1
"V74";0;0;0;0;0;1;1;1;0;0
"V75";1;0;1;0;0;1;0;0;0;0
"V76";0;1;0;0;0;0;1;0;0;0
"V77";1;1;1;1;1;0;1;1;1;1
"V78";0;1;1;1;0;0;0;0;1;1
"V79";1;0;0;0;0;0;0;0;0;1
"V80";1;0;0;0;0;0;0;0;1;0
"V81";0;0;0;0;0;0;0;0;1;0
"V82";0;0;0;0;0;1;0;0;0;0
"V83";1;0;0;0;0;0;0;0;0;0
"V84";0;0;0;0;0;1;1;0;0;0
"V85";0;0;0;0;1;1;0;0;0;1
"V86";0;0;1;1;0;0;0;0;0;0
"V87";0;0;0;0;0;0;1;0;1;0
"V88";0;0;1;0;0;1;0;0;1;1
"V89";0;0;1;0;1;0;1;0;0;0
"V90";0;1;1;0;0;0;0;0;0;0
"V91";1;0;0;1;0;0;1;0;0;0
"V92";1;0;0;0;0;0;0;1;0;0
"V93";1;0;0;0;1;1;1;1;0;0
"V94";0;0;0;0;0;0;0;1;0;0
"V95";0;0;0;1;0;0;0;0;0;0
"V96";0;1;0;0;0;0;0;0;0;0
"V97";0;0;0;0;0;0;1;0;0;0
"V98";0;1;0;0;0;0;0;0;0;0
"V99";0;0;0;0;0;1;1;0;0;1
"V100";0;1;0;0;0;1;1;0;0;1
"V101";0;1;0;0;0;0;0;0;0;0
"V102";0;0;0;0;1;0;0;0;0;1
"V103";1;1;0;0;1;0;0;0;0;1
"V104";0;0;1;0;1;0;0;1;0;0
"V105";0;0;0;0;0;0;1;0;0;0
"V106";0;0;0;0;0;0;1;1;0;0
"V107";0;1;0;0;0;1;0;0;0;0
"V108";1;1;0;0;0;0;0;0;0;0
"V109";1;0;0;0;0;0;1;0;0;0
"V110";0;0;0;0;1;0;1;0;1;0
"V111";0;0;0;1;0;0;0;0;1;1
"V112";0;0;0;0;0;0;0;0;0;1
"V113";0;0;0;1;0;0;0;0;0;0
"V114";0;1;0;0;1;0;0;1;0;1
"V115";0;0;0;0;1;0;0;0;0;0
"V116";0;0;0;0;0;0;1;0;0;0
"V117";0;0;0;0;0;0;0;0;0;1
"V118";0;0;0;0;0;0;0;0;0;1
"V119";0;0;0;0;0;0;0;0;0;1
"V120";0;0;0;0;1;0;0;0;0;0
"V121";0;0;0;1;0;0;0;0;0;0
