"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";0;1;0;0
"V3";1;1;1;1
"V4";1;1;0;1
"V5";0;0;1;0
"V6";0;0;1;0
"V7";0;0;0;1
"V8";0;1;0;0
"V9";1;0;0;0
"V10";1;1;1;1
"V11";1;1;1;1
"V12";0;0;1;0
"V13";1;1;1;1
"V14";1;1;1;1
"V15";1;0;1;0
"V16";1;1;1;1
"V17";1;1;1;1
"V18";0;1;0;0
"V19";0;0;0;1
"V20";1;1;1;1
"V21";1;0;0;0
"V22";1;1;1;1
"V23";1;1;1;1
"V24";0;0;0;1
"V25";1;1;0;1
"V26";1;1;1;1
"V27";1;0;0;0
"V28";0;0;0;1
"V29";1;0;1;0
"V30";1;0;0;0
"V31";1;1;0;1
"V32";1;1;0;0
"V33";1;0;1;0
"V34";0;0;0;1
"V35";0;1;1;1
"V36";1;1;0;0
"V37";0;1;0;1
"V38";1;0;1;0
"V39";1;0;0;0
"V40";1;1;0;1
"V41";0;0;0;1
"V42";1;1;0;0
"V43";0;1;0;0
"V44";0;1;0;0
