"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";1;0;0;0
"V3";1;1;1;1
"V4";1;0;0;0
"V5";1;0;0;1
"V6";0;0;1;0
"V7";1;1;1;1
"V8";1;0;0;1
"V9";1;1;1;1
"V10";0;0;1;0
"V11";1;1;1;1
"V12";1;1;1;1
"V13";1;0;0;0
"V14";1;1;1;1
"V15";0;0;1;0
"V16";1;1;1;1
"V17";0;0;1;0
"V18";1;1;1;1
"V19";0;0;0;1
"V20";1;1;1;0
"V21";1;1;1;1
"V22";1;1;1;1
"V23";1;1;0;0
"V24";1;0;0;1
"V25";1;1;1;1
"V26";0;0;1;1
"V27";1;0;0;1
"V28";1;1;1;0
"V29";0;1;0;0
"V30";1;0;0;0
"V31";1;0;0;1
"V32";1;0;0;0
"V33";1;0;1;1
"V34";1;1;1;1
"V35";0;1;1;1
"V36";0;0;1;1
"V37";1;1;0;1
"V38";0;1;1;1
"V39";0;0;1;0
"V40";1;1;1;0
"V41";0;1;0;0
"V42";0;0;1;0
"V43";0;1;0;0
