"";"V1";"V2";"V3";"V4";"V5";"V6"
"V1";1;1;1;1;1;1
"V2";0;1;0;0;0;0
"V3";0;0;1;0;0;0
"V4";0;0;0;0;0;1
"V5";1;1;0;0;1;0
"V6";0;1;1;1;1;1
"V7";1;1;1;0;1;1
"V8";1;0;1;0;0;0
"V9";1;1;1;1;1;1
"V10";0;1;1;1;1;1
"V11";1;1;1;1;1;1
"V12";1;1;1;1;1;1
"V13";0;1;1;1;0;1
"V14";1;0;0;0;0;1
"V15";1;1;1;1;1;1
"V16";0;0;0;0;0;1
"V17";0;1;1;1;1;1
"V18";0;0;0;0;0;1
"V19";0;0;0;0;1;0
"V20";1;1;1;1;1;1
"V21";0;0;0;0;1;1
"V22";0;0;0;1;0;0
"V23";1;1;1;0;1;1
"V24";1;1;1;1;0;1
"V25";1;1;1;1;0;1
"V26";1;1;0;0;0;0
"V27";0;0;0;1;0;0
"V28";1;1;0;1;0;1
"V29";1;1;1;0;1;1
"V30";1;0;0;1;0;1
"V31";1;0;0;0;0;0
"V32";1;1;1;0;1;1
"V33";1;1;1;0;1;1
"V34";1;1;0;1;1;1
"V35";0;1;1;0;1;1
"V36";0;0;1;0;0;0
"V37";0;1;0;0;1;1
"V38";1;0;1;0;1;0
"V39";1;0;0;0;0;0
"V40";1;0;1;0;1;1
"V41";0;1;1;1;1;0
"V42";0;0;0;0;0;1
"V43";1;0;0;1;0;0
"V44";1;0;0;0;0;0
"V45";1;0;0;0;0;0
"V46";0;0;0;0;1;0
"V47";0;0;0;0;1;0
"V48";0;0;0;0;0;1
"V49";0;1;0;1;0;0
"V50";0;0;0;0;1;0
"V51";0;0;0;1;0;0
"V52";0;0;1;0;0;0
"V53";0;0;0;0;1;0
"V54";0;0;0;1;0;0
