"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"V1";1;1;1;1;1;1;1;1;1;1
"V2";1;1;1;1;0;1;1;1;1;1
"V3";0;0;0;0;0;1;1;0;0;0
"V4";1;1;0;0;1;1;1;0;1;0
"V5";0;0;0;0;0;0;1;0;0;0
"V6";0;0;0;1;0;0;0;1;0;0
"V7";0;0;0;0;1;1;0;0;1;0
"V8";1;1;1;1;1;1;0;1;1;1
"V9";1;1;1;1;1;1;1;1;1;1
"V10";0;1;1;1;1;1;1;1;1;1
"V11";1;1;1;0;1;1;1;1;1;1
"V12";0;0;1;1;0;0;1;1;1;1
"V13";1;1;0;1;1;1;1;1;1;1
"V14";0;0;0;0;0;0;0;0;1;1
"V15";1;1;1;1;1;1;1;1;1;0
"V16";0;0;0;0;0;1;0;0;1;0
"V17";0;0;0;1;0;1;0;0;0;0
"V18";0;0;0;1;0;0;0;1;0;0
"V19";0;0;1;0;0;0;0;0;0;0
"V20";0;1;1;1;1;1;1;1;1;1
"V21";0;0;0;0;0;0;0;0;1;1
"V22";0;0;0;0;0;0;0;1;0;0
"V23";0;0;0;0;0;0;0;1;0;0
"V24";0;0;0;0;1;0;1;0;0;1
"V25";0;0;1;0;0;0;1;0;0;0
"V26";1;1;1;1;1;1;1;0;1;1
"V27";1;1;0;1;1;1;1;1;1;1
"V28";0;0;0;0;1;0;0;0;0;0
"V29";1;1;0;1;1;1;1;1;1;1
"V30";1;0;0;0;1;1;1;0;1;0
"V31";0;0;1;1;1;1;0;0;1;1
"V32";1;1;0;0;1;0;1;0;1;0
"V33";0;0;0;1;1;0;0;1;0;0
"V34";0;1;0;1;0;0;0;0;1;0
"V35";0;0;1;0;1;0;0;0;1;0
"V36";1;0;1;1;0;0;1;1;1;0
"V37";1;1;0;0;1;1;0;0;1;1
"V38";1;0;1;0;1;0;1;0;0;0
"V39";1;0;0;1;1;1;1;0;1;1
"V40";0;1;1;1;0;1;1;0;1;1
"V41";1;0;0;1;0;0;1;0;0;0
"V42";1;0;1;1;1;1;0;0;0;1
"V43";1;0;0;0;0;0;0;0;0;0
"V44";0;1;0;1;0;0;0;0;1;0
"V45";0;0;0;1;1;0;0;1;0;1
"V46";1;1;0;1;1;0;0;1;1;1
"V47";0;1;0;0;0;0;0;0;0;1
"V48";1;1;0;1;1;0;0;1;1;1
"V49";0;1;0;1;0;0;0;1;1;1
"V50";0;0;0;0;0;0;1;0;0;0
"V51";0;0;0;0;0;0;0;0;0;1
"V52";0;0;0;0;0;1;0;0;0;0
"V53";0;0;0;1;0;0;0;0;0;0
"V54";0;0;0;0;0;0;0;0;1;0
"V55";0;0;0;1;0;0;0;1;0;1
"V56";1;0;0;0;0;0;0;0;0;0
"V57";0;0;0;0;0;1;0;1;1;0
"V58";0;0;0;0;1;0;0;0;0;0
"V59";0;0;0;1;0;0;0;0;0;0
"V60";0;0;0;0;0;0;1;0;0;0
"V61";0;0;0;0;0;0;1;0;0;0
"V62";0;1;0;0;0;0;1;1;1;0
"V63";0;0;0;0;0;0;0;1;0;0
"V64";0;0;0;0;0;1;0;0;0;0
"V65";0;0;0;1;0;0;0;0;1;1
"V66";1;0;0;0;0;0;0;0;0;0
"V67";0;0;0;0;1;0;0;0;0;0
"V68";1;0;0;0;0;0;0;1;1;0
"V69";0;0;0;0;0;0;0;1;0;0
"V70";0;0;0;1;0;0;0;1;1;0
"V71";0;1;0;0;0;1;0;0;0;0
"V72";0;0;0;0;0;0;1;1;0;0
"V73";0;0;0;0;0;1;0;0;0;1
"V74";0;0;0;0;0;0;0;0;1;1
"V75";0;1;0;0;0;0;0;1;1;1
"V76";0;0;0;0;0;0;1;0;0;1
"V77";1;0;1;1;0;0;0;1;0;1
"V78";0;0;0;0;0;0;0;1;0;1
"V79";1;0;0;0;1;0;1;1;0;0
"V80";0;1;0;0;1;0;0;0;0;0
"V81";0;0;0;0;0;1;0;0;0;0
"V82";0;0;0;0;0;0;1;0;0;0
"V83";0;0;1;0;0;0;0;0;0;0
"V84";1;0;0;1;0;0;0;0;0;0
"V85";0;0;0;1;0;0;0;0;0;0
"V86";0;0;0;0;0;0;0;0;0;1
"V87";0;0;0;0;0;0;0;0;0;1
"V88";0;0;0;0;0;0;1;1;0;0
"V89";0;0;0;0;1;1;1;0;1;1
"V90";0;0;0;1;0;0;0;0;0;0
"V91";0;0;0;0;0;0;0;1;0;0
"V92";0;0;0;0;0;0;1;0;0;0
"V93";0;0;0;0;0;1;0;0;1;1
"V94";0;0;0;1;0;0;0;0;0;0
"V95";0;0;0;1;0;0;0;0;0;0
"V96";0;0;0;0;0;0;1;0;1;1
"V97";0;1;0;0;0;0;0;0;1;0
"V98";0;0;0;1;0;0;0;0;1;0
"V99";1;1;0;0;0;0;0;0;0;1
"V100";0;0;0;0;0;0;1;1;1;0
"V101";0;1;0;0;1;0;0;0;0;0
"V102";0;0;0;1;0;0;1;1;0;0
"V103";0;0;0;1;1;0;0;0;1;0
"V104";0;0;0;0;0;1;0;0;0;0
"V105";0;0;0;0;0;0;0;0;1;0
"V106";0;0;0;0;0;0;0;0;1;0
"V107";0;0;0;0;1;0;0;0;0;0
"V108";0;0;0;0;0;0;1;0;0;0
"V109";0;0;0;0;0;0;0;1;0;0
"V110";0;1;0;0;0;0;0;0;0;0
"V111";0;0;0;0;0;0;0;0;0;1
"V112";0;0;0;0;0;0;0;1;0;0
"V113";0;0;0;0;1;0;0;0;0;1
"V114";0;0;0;0;1;0;0;0;0;0
"V115";0;0;0;0;0;0;0;0;0;1
"V116";0;0;1;0;0;0;0;0;0;0
"V117";0;0;0;0;0;0;0;0;1;0
"V118";0;0;0;1;0;0;0;0;0;1
"V119";0;0;0;0;0;0;1;0;0;1
"V120";1;0;0;0;0;0;0;0;0;1
"V121";0;1;0;1;0;0;0;0;0;0
"V122";0;0;0;0;1;0;1;0;0;0
"V123";0;0;0;0;0;0;0;1;0;0
"V124";0;0;0;1;0;0;0;0;0;0
"V125";0;1;0;0;0;0;0;0;0;0
"V126";0;1;0;0;0;0;0;0;0;0
"V127";0;0;0;0;1;0;0;0;0;0
"V128";1;0;0;1;0;0;0;0;0;0
"V129";0;0;0;0;0;1;0;0;0;0
"V130";0;0;0;0;1;0;0;0;0;0
"V131";0;0;0;0;0;0;1;0;0;0
"V132";0;1;0;0;0;0;0;0;0;0
"V133";0;0;0;0;0;0;1;0;0;0
"V134";0;0;1;0;0;0;0;0;0;0
"V135";0;0;0;0;0;0;0;0;0;1
