"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"V1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V2";1;0;0;0;1;0;1;0;1;0;1;1;1;0;1;1;0;0;1
"V3";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0
"V4";1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"V5";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"V6";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"V7";1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;1
"V8";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V9";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V10";1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0
"V11";0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
"V12";1;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;0
"V13";0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"V14";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V15";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"V16";0;0;0;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0
"V17";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"V18";1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0
"V19";1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1
"V20";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"V21";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V22";0;1;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0
"V23";1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1
"V24";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V25";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
"V26";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V27";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V28";0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"V29";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"V30";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V31";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V33";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V34";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V35";1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1
"V36";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V37";0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1
"V38";0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"V39";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V41";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"V42";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V43";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V44";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"V45";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V46";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"V47";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V48";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V49";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V50";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V51";1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0
"V52";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"V53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V54";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V56";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V57";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"V58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V59";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V60";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
