matrix_id,baseline,p_NODF,p_Temp,sign_NODF,sign_Temp
boves,c0,0.2640,0.0500,antinested,nested
boves,c1,0.3180,0.0560,antinested,nested
boves,curveball,0.4640,0.4640,antinested,nested
boves,r0,0.1360,0.0540,antinested,nested
boves,r00,0.3000,0.0180,antinested,nested
boves,r1,0.1640,0.0720,antinested,nested
boves,r2,0.1840,0.0900,antinested,nested
boves,swap,0.5780,0.5780,antinested,nested
chevelon,c0,0.0480,0.0000,nested,nested
chevelon,c1,0.9660,0.6600,antinested,nested
chevelon,curveball,0.4280,0.6040,antinested,antinested
chevelon,r0,0.5380,0.4860,nested,nested
chevelon,r00,0.0540,0.0040,nested,nested
chevelon,r1,0.9400,0.9940,nested,antinested
chevelon,r2,0.2860,0.2000,antinested,antinested
chevelon,swap,0.2620,0.6600,antinested,antinested
loire_area,c0,0.0000,0.0000,nested,nested
loire_area,c1,0.0000,0.0000,nested,nested
loire_area,curveball,0.0040,0.0960,antinested,antinested
loire_area,r0,0.0000,0.0160,nested,nested
loire_area,r00,0.0000,0.0000,nested,nested
loire_area,r1,0.0000,0.0040,nested,antinested
loire_area,r2,0.0000,0.0000,nested,antinested
loire_area,swap,0.0020,0.0200,antinested,antinested
loire_city,c0,0.0000,0.0000,nested,nested
loire_city,c1,0.0000,0.0000,nested,nested
loire_city,curveball,0.0120,0.0560,antinested,nested
loire_city,r0,0.0000,0.0000,nested,nested
loire_city,r00,0.0000,0.0000,nested,nested
loire_city,r1,0.0000,0.0000,nested,nested
loire_city,r2,0.0000,0.0000,nested,antinested
loire_city,swap,0.1600,0.0040,antinested,nested
loire_site,c0,0.0000,0.0000,nested,nested
loire_site,c1,0.0000,0.0000,nested,nested
loire_site,curveball,0.4820,0.0000,antinested,nested
loire_site,r0,0.0000,0.0000,nested,nested
loire_site,r00,0.0000,0.0000,nested,nested
loire_site,r1,0.0000,0.0000,nested,nested
loire_site,r2,0.0000,0.0000,nested,antinested
loire_site,swap,0.0180,0.0000,antinested,nested
merzback,c0,0.0400,0.7300,antinested,nested
merzback,c1,0.0300,0.9280,antinested,nested
merzback,curveball,0.0020,0.2020,antinested,antinested
merzback,r0,0.8660,0.0000,nested,nested
merzback,r00,0.9520,0.0000,nested,nested
merzback,r1,0.8680,0.0640,antinested,nested
merzback,r2,0.3540,0.0460,nested,antinested
merzback,swap,0.0000,0.2640,antinested,antinested
jordanshennanornamentation,c0,0.3120,0.0000,antinested,nested
jordanshennanornamentation,c1,0.0940,0.8940,antinested,antinested
jordanshennanornamentation,curveball,0.0160,0.9600,antinested,nested
jordanshennanornamentation,r0,0.0000,0.0000,nested,nested
jordanshennanornamentation,r00,0.0000,0.0000,nested,nested
jordanshennanornamentation,r1,0.0140,0.0980,nested,nested
jordanshennanornamentation,r2,0.0020,0.0000,antinested,antinested
jordanshennanornamentation,swap,0.0200,0.9120,antinested,nested
jordanshennanornamentation,c0,0.3120,0.0000,antinested,nested
jordanshennanornamentation,c1,0.0940,0.8940,antinested,antinested
jordanshennanornamentation,curveball,0.0160,0.9600,antinested,nested
jordanshennanornamentation,r0,0.0000,0.0000,nested,nested
jordanshennanornamentation,r00,0.0000,0.0000,nested,nested
jordanshennanornamentation,r1,0.0140,0.0980,nested,nested
jordanshennanornamentation,r2,0.0020,0.0000,antinested,antinested
jordanshennanornamentation,swap,0.0200,0.9120,antinested,nested
JordanShennanTypesUses,c0,0.3400,0.0000,nested,nested
JordanShennanTypesUses,c1,0.5740,0.0520,antinested,nested
JordanShennanTypesUses,curveball,0.7180,0.0040,antinested,nested
JordanShennanTypesUses,r0,0.0000,0.0000,nested,nested
JordanShennanTypesUses,r00,0.0000,0.0000,nested,nested
JordanShennanTypesUses,r1,0.0000,0.0000,nested,nested
JordanShennanTypesUses,r2,0.4280,0.0000,nested,antinested
JordanShennanTypesUses,swap,0.4740,0.0000,antinested,nested
jorgensen_etal1980,c0,0.0000,0.0000,nested,nested
jorgensen_etal1980,c1,0.0000,0.0000,nested,nested
jorgensen_etal1980,curveball,0.0020,0.0960,antinested,antinested
jorgensen_etal1980,r0,0.0000,0.0000,nested,nested
jorgensen_etal1980,r00,0.0000,0.0000,nested,nested
jorgensen_etal1980,r1,0.0000,0.0000,nested,nested
jorgensen_etal1980,r2,0.0000,0.0000,antinested,antinested
jorgensen_etal1980,swap,0.0140,0.0100,antinested,antinested
vanschaik2009_habitualcustomary_only,c0,0.1380,0.2800,nested,nested
