"";"V1";"V2";"V3";"V4";"V5"
"V1";1;1;1;1;1
"V2";1;1;0;0;0
"V3";0;0;0;1;1
"V4";1;0;0;0;1
"V5";1;1;0;1;0
"V6";1;1;1;1;1
"V7";1;1;1;1;1
"V8";1;1;1;1;1
"V9";1;1;0;1;0
"V10";1;1;1;1;1
"V11";1;1;1;1;1
"V12";1;0;1;1;0
"V13";1;0;1;0;0
"V14";1;1;1;1;1
"V15";1;1;1;1;1
"V16";1;1;1;0;0
"V17";0;0;0;1;1
"V18";0;0;1;1;0
"V19";0;0;1;0;0
"V20";1;1;0;1;1
"V21";0;1;0;1;1
"V22";0;1;0;1;0
"V23";0;0;1;0;1
"V24";1;1;1;1;0
"V25";0;0;0;1;0
"V26";1;1;0;0;0
"V27";0;0;0;0;1
"V28";0;1;0;0;1
"V29";1;1;0;1;0
"V30";0;0;0;0;1
"V31";0;0;1;0;0
"V32";0;1;1;1;0
"V33";0;1;0;1;1
"V34";1;0;0;1;0
"V35";1;0;1;0;0
"V36";0;1;0;0;0
"V37";0;0;1;0;0
"V38";1;0;1;0;0
"V39";0;1;0;0;0
"V40";0;0;1;0;0
"V41";0;1;0;0;0
"V42";0;0;0;1;0
"V43";0;0;1;0;0
"V44";0;0;0;1;0
"V45";0;1;0;0;0
"V46";1;0;0;0;0
