"";"V1";"V2";"V3";"V4"
"V1";1;1;0;0
"V2";0;0;1;0
"V3";0;0;0;1
"V4";0;0;1;1
"V5";1;1;1;1
"V6";0;1;0;0
"V7";0;1;1;1
"V8";1;1;1;1
"V9";1;0;0;0
"V10";1;1;1;1
"V11";0;0;1;1
"V12";1;1;1;1
"V13";1;0;0;1
"V14";1;1;1;1
"V15";1;0;1;1
"V16";1;0;0;0
"V17";1;0;0;1
"V18";0;0;0;1
"V19";0;1;1;1
"V20";1;0;0;1
"V21";0;0;1;0
"V22";1;1;1;1
"V23";0;0;1;0
"V24";0;0;1;0
"V25";1;0;1;1
"V26";1;0;0;0
"V27";0;1;0;0
"V28";0;0;0;1
"V29";0;0;1;0
"V30";1;0;0;0
"V31";1;0;1;0
"V32";0;0;1;0
"V33";0;0;0;1
"V34";0;0;0;1
"V35";0;1;0;0
"V36";0;0;0;1
"V37";0;1;0;0
"V38";1;0;0;0
"V39";0;1;0;0
"V40";0;0;1;0
"V41";0;0;1;0
"V42";0;0;0;1
"V43";0;0;1;1
"V44";0;0;1;0
"V45";0;1;0;0
"V46";0;0;0;1
"V47";1;0;0;0
"V48";0;1;0;0
"V49";0;0;0;1
"V50";0;0;0;1
"V51";0;0;0;1
"V52";0;1;0;0
"V53";0;1;0;0
"V54";0;0;0;1
"V55";1;0;0;0
"V56";0;0;1;0
"V57";0;0;1;0
"V58";0;0;0;1
"V59";0;0;1;0
"V60";1;0;0;0
"V61";0;0;1;0
"V62";0;0;0;1
"V63";1;0;0;0
"V64";1;0;0;0
"V65";0;0;0;1
"V66";0;0;0;1
"V67";0;0;0;1
"V68";0;1;0;0
