"";"V1";"V2";"V3";"V4"
"V1";0;1;0;0
"V2";1;0;0;0
"V3";0;1;0;0
"V4";1;1;1;1
"V5";0;0;1;0
"V6";1;0;0;0
"V7";1;1;1;1
"V8";1;1;1;1
"V9";0;0;1;0
"V10";1;1;1;1
"V11";0;1;0;0
"V12";0;1;0;0
"V13";0;0;0;1
"V14";1;1;1;1
"V15";1;1;1;1
"V16";0;1;1;0
"V17";0;0;0;1
"V18";1;1;1;1
"V19";1;1;1;1
"V20";1;1;1;1
"V21";0;0;0;1
"V22";1;1;1;1
"V23";1;1;1;1
"V24";1;0;0;0
"V25";1;1;1;1
"V26";1;1;1;1
"V27";0;0;1;0
"V28";1;1;1;1
"V29";1;1;1;1
"V30";0;0;0;1
"V31";1;1;1;1
"V32";1;1;1;1
"V33";1;0;0;0
"V34";1;1;1;1
"V35";0;0;1;0
"V36";1;0;1;1
"V37";0;0;0;1
"V38";1;0;0;0
"V39";0;1;1;1
"V40";0;1;1;1
"V41";1;0;1;1
"V42";1;0;1;1
"V43";0;0;0;1
"V44";1;1;0;1
"V45";1;1;0;1
"V46";0;1;1;1
"V47";0;0;1;0
"V48";0;1;0;1
"V49";1;1;0;1
"V50";0;1;1;1
"V51";0;0;1;1
"V52";1;0;0;0
"V53";1;0;1;1
"V54";1;0;0;1
"V55";0;0;1;0
"V56";0;0;1;0
"V57";0;0;1;0
"V58";0;1;0;0
"V59";0;0;1;0
"V60";0;1;0;0
"V61";0;0;0;1
"V62";0;0;0;1
"V63";0;1;0;0
"V64";0;1;0;0
"V65";1;0;1;0
"V66";0;1;0;0
"V67";0;0;0;1
"V68";0;0;1;1
"V69";1;0;0;0
"V70";1;0;0;0
"V71";0;1;0;0
"V72";0;0;1;0
"V73";0;0;1;0
