"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"V1";0;0;0;0;1;1;1;1;1;1;0;1;1
"V2";0;0;0;0;0;0;0;0;0;0;0;1;0
"V3";1;1;1;1;1;1;1;1;1;1;1;1;1
"V4";0;0;0;1;0;0;0;0;0;1;1;0;1
"V5";0;0;0;0;0;0;0;0;0;0;1;0;0
"V6";1;1;0;0;0;0;1;0;0;0;1;0;1
"V7";0;0;0;1;0;0;0;1;0;0;0;0;0
"V8";1;1;1;1;1;1;1;1;1;1;1;1;1
"V9";1;0;0;0;0;0;0;0;0;0;1;1;0
"V10";1;1;1;1;1;1;1;1;1;1;1;1;1
"V11";1;0;1;0;1;1;0;0;1;0;1;1;1
"V12";1;1;1;1;1;1;0;1;1;1;1;1;1
"V13";0;0;0;0;0;0;0;0;0;0;1;0;0
"V14";1;1;1;1;1;1;1;1;1;1;1;1;0
"V15";0;0;0;0;1;1;0;0;1;0;0;0;0
"V16";1;1;0;1;1;1;1;0;1;0;1;0;1
"V17";0;0;1;1;0;0;0;0;0;1;0;0;0
"V18";0;0;0;1;0;1;1;0;0;0;0;1;0
"V19";1;1;1;0;0;0;0;1;0;0;0;0;1
"V20";1;1;1;1;1;1;1;1;1;1;1;1;1
"V21";1;1;1;0;0;0;0;0;0;0;0;0;1
"V22";0;0;0;0;0;0;0;0;0;0;1;1;0
"V23";1;0;0;0;0;0;0;0;1;0;0;0;0
"V24";0;0;0;0;0;0;0;0;0;0;0;1;0
"V25";0;0;0;0;0;0;0;0;0;0;0;0;1
"V26";0;0;0;1;0;0;0;0;0;0;0;0;0
"V27";1;1;1;1;1;1;1;1;1;1;1;1;1
"V28";0;0;0;1;1;0;0;1;0;0;0;1;0
"V29";1;0;0;0;1;0;1;0;0;0;1;0;0
"V30";0;0;0;0;0;0;0;0;0;0;0;1;0
"V31";0;0;1;0;0;0;1;0;0;0;0;0;1
"V32";1;1;1;0;1;1;1;1;0;0;1;0;0
"V33";1;0;1;1;1;1;0;0;1;1;1;1;1
"V34";0;0;0;0;0;0;0;0;0;0;0;0;1
"V35";0;0;0;0;0;0;0;0;0;0;1;0;0
"V36";0;0;0;0;0;0;0;0;1;0;0;0;0
"V37";0;0;0;0;0;0;1;0;0;0;0;0;0
"V38";0;0;0;0;1;0;0;0;0;0;0;0;0
"V39";0;0;0;0;0;0;0;0;0;1;0;0;0
"V40";0;0;0;0;0;0;0;1;0;0;0;1;0
"V41";0;0;0;1;0;0;0;0;0;0;0;0;0
"V42";0;0;0;0;0;0;0;0;0;0;1;0;0
"V43";0;0;0;1;0;0;0;0;0;0;0;0;0
"V44";0;0;0;0;0;0;0;0;0;1;0;0;1
"V45";1;1;0;1;0;1;1;0;0;1;1;1;0
"V46";1;1;1;0;0;0;0;0;0;0;0;0;0
"V47";0;1;0;0;0;1;0;0;0;0;0;0;0
"V48";1;0;0;0;1;0;0;0;0;0;0;0;1
"V49";1;0;0;0;0;0;0;1;0;1;0;0;1
"V50";1;0;0;0;0;0;1;1;0;0;0;0;0
"V51";0;0;0;0;0;0;0;1;0;0;0;1;0
"V52";0;0;0;0;0;0;0;0;0;0;0;1;0
"V53";1;1;1;1;1;0;1;1;1;1;1;1;1
"V54";0;0;0;1;1;1;0;0;1;0;1;1;0
"V55";0;0;0;0;0;0;0;0;0;0;0;1;1
"V56";0;0;0;1;0;1;0;0;0;0;0;0;0
"V57";0;0;0;1;0;0;1;0;0;0;0;0;0
"V58";1;1;0;1;0;0;1;0;0;0;0;0;0
"V59";0;0;0;0;0;0;0;0;0;0;0;1;0
"V60";0;0;0;1;0;0;0;0;0;0;0;0;0
"V61";0;0;0;0;0;0;0;0;0;0;0;0;1
"V62";0;0;1;0;0;0;0;0;0;0;0;0;0
"V63";0;1;0;1;0;0;0;1;0;0;1;0;0
"V64";1;0;0;0;0;0;0;0;0;0;1;1;0
"V65";1;0;0;0;1;0;0;1;0;0;0;0;0
"V66";0;0;1;0;0;0;0;0;1;0;1;0;1
"V67";1;0;0;0;0;0;0;1;0;0;0;0;0
"V68";1;0;1;1;1;1;1;1;0;1;0;1;0
