"";"V1";"V2";"V3";"V4";"V5"
"V1";1;1;1;1;1
"V2";1;0;0;0;0
"V3";0;0;0;1;0
"V4";0;0;1;0;0
"V5";1;1;1;1;1
"V6";0;0;0;1;0
"V7";1;1;1;1;1
"V8";1;1;1;1;1
"V9";1;1;1;1;1
"V10";0;0;0;0;1
"V11";1;1;1;1;1
"V12";1;1;1;1;1
"V13";1;1;1;1;1
"V14";1;1;1;0;1
"V15";1;1;1;1;1
"V16";1;1;1;1;1
"V17";0;0;1;0;0
"V18";1;1;1;0;0
"V19";1;1;1;1;1
"V20";1;1;1;1;1
"V21";1;1;1;1;1
"V22";1;0;1;0;0
"V23";0;1;1;0;0
"V24";0;1;0;1;0
"V25";1;0;1;1;0
"V26";0;1;1;1;1
"V27";0;0;1;1;0
"V28";0;1;0;1;0
"V29";0;1;1;0;0
"V30";0;1;1;0;0
"V31";1;0;1;1;1
"V32";0;1;0;1;0
"V33";0;1;1;0;1
"V34";0;0;1;1;0
"V35";1;1;1;0;1
"V36";1;1;0;1;1
"V37";0;0;1;1;0
"V38";0;0;1;1;1
"V39";1;1;1;1;0
"V40";1;0;1;1;1
"V41";0;1;0;0;1
"V42";1;0;0;0;1
"V43";0;1;1;1;0
"V44";0;0;0;1;0
"V45";0;0;0;0;1
"V46";0;1;1;0;1
"V47";1;0;0;0;0
"V48";1;0;0;0;0
"V49";0;0;1;0;0
"V50";0;0;0;0;1
