"";"V1";"V2";"V3";"V4";"V5"
"V1";1;1;1;1;1
"V2";1;1;1;1;1
"V3";1;1;0;1;1
"V4";0;0;1;1;1
"V5";0;0;1;0;0
"V6";0;0;1;0;0
"V7";0;0;1;0;0
"V8";1;1;1;1;1
"V9";1;1;0;1;0
"V10";1;1;1;1;1
"V11";1;1;1;1;1
"V12";0;0;1;1;1
"V13";1;1;1;1;1
"V14";0;0;0;1;0
"V15";1;1;1;1;1
"V16";0;0;0;1;0
"V17";1;1;1;1;1
"V18";1;1;1;1;1
"V19";0;0;0;1;0
"V20";1;1;1;1;0
"V21";0;0;0;0;1
"V22";0;0;1;1;0
"V23";0;1;0;0;0
"V24";1;1;1;1;1
"V25";1;1;1;1;1
"V26";0;0;0;1;0
"V27";0;0;1;1;1
"V28";1;1;0;0;1
"V29";0;0;1;1;1
"V30";0;0;1;1;1
"V31";1;0;1;1;1
"V32";1;1;1;0;1
"V33";0;0;1;0;1
"V34";1;0;1;0;0
"V35";1;1;1;1;0
"V36";1;0;1;1;1
"V37";1;1;1;1;0
"V38";1;0;1;1;1
"V39";1;0;0;1;0
"V40";0;1;0;0;1
"V41";0;1;0;0;1
"V42";0;0;0;1;0
"V43";0;0;1;0;1
"V44";1;0;0;1;0
"V45";0;0;1;0;0
"V46";0;1;0;0;1
"V47";0;0;1;1;0
"V48";0;1;0;0;1
"V49";0;0;0;1;0
"V50";0;0;0;1;0
"V51";0;0;1;0;1
"V52";0;0;0;1;1
"V53";0;0;1;0;0
"V54";0;1;0;1;0
"V55";0;0;1;0;1
"V56";0;0;0;1;0
"V57";1;0;0;0;0
"V58";0;0;1;0;0
"V59";0;0;1;0;0
"V60";0;0;0;0;1
"V61";0;0;0;1;0
"V62";0;1;0;0;0
"V63";0;0;1;1;0
"V64";0;0;1;1;0
"V65";0;0;1;1;1
"V66";1;0;0;1;0
"V67";0;0;1;0;0
"V68";0;1;0;0;0
"V69";0;0;0;1;0
"V70";0;1;0;1;0
"V71";0;0;1;1;0
"V72";0;0;0;0;1
"V73";1;0;1;0;0
"V74";0;0;0;1;0
"V75";0;0;1;0;0
"V76";0;0;0;1;0
"V77";0;1;0;0;0
"V78";1;0;0;0;0
"V79";1;0;0;0;0
"V80";0;0;0;0;1
"V81";0;0;0;1;0
"V82";0;0;0;0;1
"V83";0;0;1;0;0
"V84";0;1;0;0;0
