"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21"
"V1";1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1
"V2";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"V3";1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1
"V4";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V5";0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0
"V6";1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0
"V7";0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;1
"V8";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1
"V9";1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;1
"V10";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1
"V11";1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;1;0
"V12";1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1
"V13";1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0
"V14";1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V15";0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"V16";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"V17";1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0
"V18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V19";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V20";1;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1
"V21";0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1
"V22";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
"V23";1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0
"V24";0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0
"V25";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"V26";1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0
"V27";1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0
"V28";0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
"V29";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V30";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V31";0;1;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1
"V32";1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0
"V33";0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1
"V34";0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
"V35";1;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1
"V36";1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1
