"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15"
"1";1;1;1;0;0;1;0;0;0;1;1;0;0;1;0
"2";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"3";0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
"4";1;1;1;0;0;0;1;0;0;1;0;0;0;1;1
"5";0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
"6";1;1;1;1;0;0;1;1;0;1;0;1;0;1;0
"7";1;1;1;0;1;1;0;1;1;1;0;0;0;1;1
"8";0;1;1;0;0;0;0;1;0;1;0;1;1;1;1
"9";1;1;1;0;0;1;0;0;1;1;0;1;1;1;0
"10";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"11";1;1;0;1;0;1;0;0;0;1;1;0;0;1;0
"12";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";0;1;1;1;0;1;1;0;0;1;1;0;0;1;0
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"16";1;1;1;1;1;1;0;1;0;1;1;1;0;1;1
"17";0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
"18";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"19";0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"20";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"25";0;0;0;0;0;0;1;0;0;0;1;0;1;1;1
"26";1;1;1;0;0;0;1;0;0;0;0;1;0;1;1
"27";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
"28";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"29";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";0;1;1;0;0;1;0;0;0;0;0;0;1;1;0
"32";1;1;1;0;0;1;0;0;0;0;1;0;0;1;0
"33";1;1;1;0;0;0;1;0;0;0;1;1;1;1;1
"34";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"35";1;1;0;0;0;1;0;0;0;0;1;1;0;1;1
"36";0;1;0;0;0;1;0;0;0;0;0;1;1;0;0
"37";0;0;1;0;0;0;0;0;0;0;0;1;0;1;0
"38";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"39";0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
"40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"41";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"42";0;1;0;0;0;0;0;1;0;0;0;1;0;1;1
"43";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"45";0;1;1;0;0;1;1;1;0;0;0;1;0;1;0
"46";0;1;1;0;0;0;0;0;0;0;0;1;0;1;1
"47";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"48";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"49";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"52";1;1;0;0;0;0;0;0;0;0;1;1;1;1;1
"53";1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"54";1;1;1;0;1;0;1;1;0;0;1;1;0;1;1
"55";1;1;0;0;1;1;0;0;0;0;1;0;0;1;1
"56";0;1;1;0;0;0;0;0;0;0;1;0;0;1;0
"57";1;1;1;0;0;1;1;1;1;1;1;1;0;1;0
"58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"60";1;1;1;0;0;0;0;0;1;0;0;0;0;0;0
"61";0;1;0;0;0;0;0;1;1;0;0;0;0;1;1
"62";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"63";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"64";1;1;1;1;0;1;1;1;1;1;1;1;0;1;1
"65";0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
"66";1;0;0;0;0;1;0;0;0;1;0;1;1;1;1
"67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"68";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"69";0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
"70";0;1;1;0;1;1;0;1;0;1;1;1;0;1;1
"71";1;1;0;0;1;1;0;1;0;0;0;0;0;1;0
"72";1;1;0;0;0;0;1;0;0;0;0;1;0;0;0
"73";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"74";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"75";1;1;1;1;0;0;0;1;0;0;1;1;0;1;1
"76";1;0;0;0;0;1;0;0;0;0;1;0;0;1;0
"77";1;1;0;1;0;0;0;1;0;0;0;1;1;1;1
"78";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"79";1;1;1;0;0;1;0;0;0;1;0;1;0;0;0
"80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"81";0;0;1;0;0;1;0;0;1;1;1;0;0;0;0
"82";1;1;1;1;0;1;0;0;0;0;1;1;1;1;1
"83";1;1;1;1;0;1;0;1;1;1;1;1;0;1;1
"84";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
"85";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"86";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"87";0;1;0;1;0;1;0;1;0;0;0;0;0;0;0
"88";1;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"89";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"90";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"91";0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"92";0;0;1;0;0;1;1;0;0;0;1;0;0;1;1
"93";1;1;1;0;0;1;0;1;1;1;1;1;0;1;1
"94";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"95";1;1;1;0;0;1;0;0;0;0;0;0;0;1;1
"96";0;1;1;0;0;1;0;1;0;0;1;1;0;1;1
"97";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"98";1;1;1;0;1;0;1;1;0;1;0;0;0;1;0
"99";1;0;0;0;1;0;0;1;0;0;0;0;0;1;0
"100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";1;1;0;0;0;1;0;1;0;1;1;0;0;0;0
"102";1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
"103";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";0;0;1;0;0;0;0;0;0;0;1;1;0;1;1
"105";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";0;0;1;0;0;0;0;0;0;1;0;0;1;0;1
"107";1;0;0;0;0;0;1;0;0;1;0;1;0;1;0
"108";1;0;1;0;0;0;0;0;0;0;1;0;0;1;0
"109";1;0;0;1;0;0;0;0;0;0;1;1;0;1;1
"110";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"111";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"112";1;1;1;0;0;1;0;1;0;0;0;1;0;1;0
"113";1;1;1;0;0;1;1;0;1;0;1;1;1;1;0
"114";1;1;0;1;0;1;1;0;0;1;0;0;0;1;0
"115";1;1;1;1;0;1;0;1;0;0;1;1;1;1;1
"116";1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
"117";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"118";1;1;1;1;0;1;1;1;0;0;1;1;0;1;1
"119";0;0;1;0;0;1;0;0;0;1;1;0;0;1;0
"120";0;1;1;1;0;0;0;0;0;0;1;0;0;1;1
"121";1;1;0;0;0;1;0;1;0;0;1;0;0;0;1
"122";0;0;1;0;0;0;0;0;0;0;0;1;0;1;0
"123";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"124";1;1;1;0;1;0;0;0;0;0;1;0;0;1;1
"125";1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
"126";0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
"127";1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
"128";0;1;0;0;1;0;0;0;0;0;0;0;1;1;1
"129";0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
