"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15"
"1";0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
"2";0;1;1;0;1;1;1;1;0;0;0;1;0;0;0
"3";0;1;1;0;0;1;1;1;0;1;1;0;0;0;1
"4";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"5";0;1;1;1;0;1;1;0;0;1;0;0;0;1;0
"6";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"7";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"8";1;1;1;0;1;1;1;0;0;1;1;0;0;0;1
"9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"11";0;1;1;0;0;1;1;1;0;0;0;0;0;0;0
"12";0;1;1;0;1;1;0;0;1;0;1;0;0;0;0
"13";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"14";1;1;0;0;0;1;0;1;0;0;0;0;1;0;0
"15";0;1;1;0;0;1;1;1;0;1;0;0;0;0;0
"16";1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"17";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
"20";1;1;1;0;1;1;1;1;1;0;0;0;1;0;0
"21";0;1;1;0;0;1;1;1;0;1;0;0;0;0;0
"22";0;1;1;0;1;1;1;0;0;1;0;0;0;0;0
"23";1;1;1;0;0;0;1;1;0;0;0;0;0;0;1
"24";0;0;1;1;0;0;0;1;0;0;1;0;0;0;0
"25";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
"26";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"27";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"28";0;1;1;0;0;1;1;1;0;1;0;1;1;0;0
"29";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"30";0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
"31";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"32";1;1;1;1;0;1;1;1;0;0;0;1;0;0;1
"33";0;1;1;0;0;1;1;1;0;1;0;0;0;0;0
"34";0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
"35";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"36";1;0;0;0;1;1;0;1;1;0;0;0;0;0;0
"37";1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"38";0;1;0;0;0;1;0;1;0;0;0;0;1;0;0
"39";0;1;1;0;0;1;1;0;1;1;1;0;0;0;0
"40";0;0;1;0;1;1;1;0;0;1;0;0;0;0;0
"41";1;1;1;0;1;1;0;1;0;0;0;0;1;0;0
"42";1;1;1;1;1;1;1;1;0;1;0;0;0;0;0
"43";0;1;1;1;1;1;1;1;0;1;1;0;1;0;0
"44";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"45";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
"46";0;1;1;0;1;1;1;1;1;0;0;0;1;0;0
"47";0;0;1;0;1;1;1;0;0;0;0;0;0;0;0
"48";0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
"49";0;1;1;0;0;1;1;1;0;0;0;0;0;0;1
"50";0;1;0;0;0;1;1;1;0;0;0;0;0;0;0
"51";0;1;1;0;0;0;1;0;0;1;0;0;0;0;0
"52";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"53";1;1;1;1;1;1;1;1;1;1;0;1;0;0;1
"54";1;1;1;0;0;1;1;1;0;1;0;0;0;0;1
"55";0;0;1;0;1;1;1;1;0;0;1;0;1;0;1
"56";1;1;1;0;0;1;1;1;0;0;0;0;0;0;0
"57";0;1;1;0;1;1;1;1;0;1;1;0;1;0;0
"58";0;1;1;0;1;1;1;0;0;0;0;0;0;1;0
"59";1;1;1;0;1;1;1;1;0;0;0;0;0;0;0
"60";1;1;1;0;1;1;1;1;1;1;1;0;1;0;1
"61";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
"62";0;1;1;0;0;1;1;1;0;1;0;0;1;0;0
"63";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"64";1;1;1;0;0;1;1;0;1;0;0;0;0;1;0
"65";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
"66";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"67";1;1;1;0;1;1;1;1;0;0;1;0;0;0;0
"68";0;1;1;0;0;1;0;1;0;1;0;0;0;0;0
"69";0;1;1;0;0;1;1;1;0;1;0;0;0;0;0
"70";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"72";0;1;1;0;0;0;1;0;0;0;0;1;0;0;0
"73";0;1;0;0;0;1;1;0;0;0;1;0;0;0;1
"74";0;0;1;0;1;1;1;0;0;0;0;0;1;0;0
"75";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"76";0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
"77";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"78";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"79";0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
"80";0;1;1;1;0;1;1;0;0;0;0;1;0;0;0
"81";0;1;1;0;0;1;0;0;0;1;0;0;0;0;0
"82";1;1;1;1;1;1;1;1;0;1;1;1;1;0;1
"83";0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
"84";0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
"85";0;1;1;0;0;1;1;1;0;1;0;0;0;0;0
"86";1;1;1;1;0;1;1;1;0;0;1;0;0;0;0
"87";0;1;1;0;0;1;1;0;0;1;0;0;0;0;0
"88";0;1;1;0;1;1;0;0;0;0;0;0;0;0;1
"89";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"90";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"91";0;1;0;0;0;1;1;0;0;1;0;0;0;0;0
"92";0;1;1;0;0;1;0;1;0;0;0;0;0;0;0
"93";1;1;1;0;1;1;1;1;1;1;1;0;0;0;0
"94";0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
"95";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"96";0;1;0;0;0;1;1;1;0;0;1;0;0;0;0
